Month,Year,No_of_Member_Banks,Volume_in_Millions,Value_in_Crore,category 
01-12-2015,2015,124,20.52,15073.11,IMPS
01-11-2015,2015,117,19.08,13767.06,IMPS
01-10-2015,2015,111,19.42,13704.96,IMPS
01-09-2015,2015,108,17.72,12070.87,IMPS
01-08-2015,2015,104,16.65,11906.97,IMPS
01-07-2015,2015,100,15.6,11217.2,IMPS
01-06-2015,2015,95,13.82,10324.97,IMPS
01-05-2015,2015,92,13.32,10675.33,IMPS
01-04-2015,2015,84,12.37,10089.18,IMPS
01-03-2015,2015,81,12.02,9414.7,IMPS
01-02-2015,2015,76,10.08,7590.82,IMPS
01-01-2015,2015,74,9.33,6972.62,IMPS
01-12-2014,2014,73,8.38,6036.55,IMPS
01-11-2014,2014,71,7.09,5259.01,IMPS
01-10-2014,2014,71,6.51,4898.8,IMPS
01-09-2014,2014,69,5.86,4294.64,IMPS
01-08-2014,2014,67,4.8,3519.74,IMPS
01-07-2014,2014,65,4.26,3018.64,IMPS
01-06-2014,2014,63,3.71,2610.06,IMPS
01-05-2014,2014,62,3.3,2416,IMPS
01-04-2014,2014,60,3.11,2157.24,IMPS
01-03-2014,2014,60,3,2050.03,IMPS
01-02-2014,2014,59,2.23,1455.6,IMPS
01-01-2014,2014,59,2.03,1320.28,IMPS
01-12-2013,2013,59,1.84,1170.15,IMPS
01-11-2013,2013,59,1.31,881.6,IMPS
01-10-2013,2013,59,1.22,731.84,IMPS
01-09-2013,2013,59,1.02,552.75,IMPS
01-10-2024,2024,632,16584.97,2349821.45,UPI
01-09-2024,2024,622,15041.75,2063994.71,UPI
01-08-2024,2024,608,14963.05,2060735.57,UPI
01-07-2024,2024,605,14435.55,2064292.4,UPI
01-06-2024,2024,602,13885.14,2007081.16,UPI
01-05-2024,2024,598,14035.84,2044937.05,UPI
01-04-2024,2024,581,13303.99,1964464.52,UPI
01-03-2024,2024,572,13440,1978353.23,UPI
01-02-2024,2024,560,12102.67,1827869.35,UPI
01-01-2024,2024,550,12203.02,1841083.97,UPI
01-12-2023,2023,522,12020.23,1822949.42,UPI
01-11-2023,2023,516,11235.29,1739740.61,UPI
01-10-2023,2023,505,11408.79,1715768.34,UPI
01-09-2023,2023,492,10555.69,1579133.18,UPI
01-08-2023,2023,484,10586.02,1576536.56,UPI
01-07-2023,2023,473,9964.61,1533645.2,UPI
01-06-2023,2023,458,9335.06,1475464.27,UPI
01-05-2023,2023,445,9415.19,1489145.44,UPI
01-04-2023,2023,414,8898.14,1407007.55,UPI
01-03-2023,2023,399,8685.3,1410443.01,UPI
01-02-2023,2023,390,7534.76,1235846.62,UPI
01-01-2023,2023,385,8036.89,1298726.62,UPI
01-12-2022,2022,382,7829.49,1282055.01,UPI
01-11-2022,2022,376,7309.45,1190593.39,UPI
01-10-2022,2022,365,7305.42,1211582.51,UPI
01-09-2022,2022,358,6780.8,1116438.1,UPI
01-08-2022,2022,346,6579.63,1072792.68,UPI
01-07-2022,2022,338,6288.4,1062991.76,UPI
01-06-2022,2022,330,5862.75,1014384.31,UPI
01-05-2022,2022,323,5955.2,1041520.07,UPI
01-04-2022,2022,316,5583.05,983302.27,UPI
01-03-2022,2022,314,5405.65,960581.66,UPI
01-02-2022,2022,304,4527.49,826843,UPI
01-01-2022,2022,297,4617.15,831993.11,UPI
01-12-2021,2021,282,4566.3,826848.22,UPI
01-11-2021,2021,274,4186.48,768436.11,UPI
01-10-2021,2021,261,4218.65,771444.98,UPI
01-09-2021,2021,259,3654.3,654351.81,UPI
01-08-2021,2021,249,3555.55,639116.95,UPI
01-07-2021,2021,235,3247.82,606281.14,UPI
01-06-2021,2021,229,2807.51,547373.17,UPI
01-05-2021,2021,224,2539.57,490638.65,UPI
01-04-2021,2021,220,2641.06,493663.68,UPI
01-03-2021,2021,216,2731.68,504886.44,UPI
01-02-2021,2021,213,2292.9,425062.76,UPI
01-01-2021,2021,207,2302.73,431181.89,UPI
01-12-2020,2020,207,2234.16,416176.21,UPI
01-11-2020,2020,200,2210.23,390999.15,UPI
01-10-2020,2020,189,2071.62,386106.74,UPI
01-09-2020,2020,174,1800.14,329027.66,UPI
01-08-2020,2020,168,1618.83,298307.61,UPI
01-07-2020,2020,164,1497.36,290537.86,UPI
01-06-2020,2020,155,1336.93,261835,UPI
01-05-2020,2020,155,1234.5,218391.6,UPI
01-04-2020,2020,153,999.57,151140.66,UPI
01-03-2020,2020,148,1246.84,206462.31,UPI
01-02-2020,2020,146,1325.69,222516.95,UPI
01-01-2020,2020,144,1305.02,216242.97,UPI
01-12-2019,2019,143,1308.4,202520.76,UPI
01-11-2019,2019,143,1218.77,189229.09,UPI
01-10-2019,2019,141,1148.36,191359.94,UPI
01-09-2019,2019,141,955.02,161456.56,UPI
01-08-2019,2019,141,918.35,154504.89,UPI
01-07-2019,2019,143,822.29,146386.64,UPI
01-06-2019,2019,142,754.54,146566.35,UPI
01-05-2019,2019,143,733.54,152449.29,UPI
01-04-2019,2019,144,781.79,142034.39,UPI
01-03-2019,2019,142,799.54,133460.72,UPI
01-02-2019,2019,139,674.19,106737.12,UPI
01-01-2019,2019,134,672.75,109932.43,UPI
01-12-2018,2018,129,620.17,102594.82,UPI
01-11-2018,2018,128,524.94,82232.21,UPI
01-10-2018,2018,128,482.36,74978.27,UPI
01-09-2018,2018,122,405.87,59835.36,UPI
01-08-2018,2018,114,312.02,54212.26,UPI
01-07-2018,2018,114,273.75,51843.14,UPI
01-06-2018,2018,110,246.37,40834.03,UPI
01-05-2018,2018,101,189.48,33288.51,UPI
01-04-2018,2018,97,190.08,27021.85,UPI
01-03-2018,2018,91,178.05,24172.6,UPI
01-02-2018,2018,86,171.4,19126.2,UPI
01-01-2018,2018,71,151.83,15571.2,UPI
01-12-2017,2017,67,145.64,13174.24,UPI
01-11-2017,2017,61,105.02,9669.33,UPI
01-10-2017,2017,60,76.96,7057.78,UPI
01-09-2017,2017,57,30.98,5325.81,UPI
01-08-2017,2017,55,16.8,4156.62,UPI
01-07-2017,2017,53,11.63,3411.35,UPI
01-06-2017,2017,52,10.35,3098.36,UPI
01-05-2017,2017,49,9.36,2797.07,UPI
01-04-2017,2017,48,7.2,2271.24,UPI
01-03-2017,2017,44,6.37,2425.14,UPI
01-02-2017,2017,44,4.38,1937.71,UPI
01-01-2017,2017,36,4.46,1696.22,UPI
01-12-2016,2016,35,1.99,707.93,UPI
01-11-2016,2016,30,0.29,100.46,UPI
01-10-2016,2016,26,0.1,48.57,UPI
01-09-2016,2016,25,0.09,32.64,UPI
01-08-2016,2016,21,0.09,3.09,UPI
01-07-2016,2016,21,0.09,0.38,UPI
01-06-2016,2016,21,0,0,UPI
01-05-2016,2016,21,0,0,UPI
01-04-2016,2016,21,0,0,UPI
